x	y	stress_xx
-5.1936075960e+00	-2.6244077692e+00	 6.1019612326e-01
-5.1126075960e+00	-2.7647038846e+00	 4.6903245570e-01
-5.0316075960e+00	-2.9050000000e+00	 2.3409893586e-01
-5.6961524227e+00	-2.1339745962e+00	 3.9116400826e-01
-5.5961524227e+00	-2.3071796770e+00	 5.2019714431e-01
-5.4961524227e+00	-2.4803847577e+00	 5.6523673040e-01
-5.3961524227e+00	-2.6535898385e+00	 5.2628276651e-01
-5.2961524227e+00	-2.8267949192e+00	 4.0333525264e-01
-5.1961524227e+00	-3.0000000000e+00	 1.9639418880e-01
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-4.9013143680e+14
-4.3301270189e+00	-2.5000000000e+00	-1.4068849615e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-7.2384480288e+14
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3387872730e+00	-2.5050000000e+00	 3.5477905421e+00
-4.3377872730e+00	-2.5067320508e+00	 2.1464604062e+00
-4.3367872730e+00	-2.5084641016e+00	 9.2987259931e-01
-4.3357872730e+00	-2.5101961524e+00	-1.0197287861e-01
-4.3347872730e+00	-2.5119282032e+00	-9.4907602756e-01
-4.3337872730e+00	-2.5136602540e+00	-1.6114368475e+00
-4.3647680351e+00	-2.5200000000e+00	 1.6321537601e+00
-4.3607680351e+00	-2.5269282032e+00	 9.3621333621e-01
-4.3567680351e+00	-2.5338564065e+00	 3.3318042358e-01
-4.3527680351e+00	-2.5407846097e+00	-1.7694497781e-01
-4.3487680351e+00	-2.5477128129e+00	-5.9416286794e-01
-4.3447680351e+00	-2.5546410162e+00	-9.1847324683e-01
-4.4080693053e+00	-2.5450000000e+00	 9.9557615362e-01
-4.3990693053e+00	-2.5605884573e+00	 5.3176057484e-01
-4.3900693053e+00	-2.5761769145e+00	 1.3126572428e-01
-4.3810693053e+00	-2.5917653718e+00	-2.0590839806e-01
-4.3720693053e+00	-2.6073538291e+00	-4.7976179219e-01
-4.3630693053e+00	-2.6229422863e+00	-6.9029445809e-01
-4.4686910835e+00	-2.5800000000e+00	 6.7759313313e-01
-4.4526910835e+00	-2.6077128129e+00	 3.2929401046e-01
-4.4366910835e+00	-2.6354256258e+00	 2.9714326090e-02
-4.4206910835e+00	-2.6631384388e+00	-2.2114591999e-01
-4.4046910835e+00	-2.6908512517e+00	-4.2328672777e-01
-4.3886910835e+00	-2.7185640646e+00	-5.7670809727e-01
-4.5466333699e+00	-2.6250000000e+00	 4.8684288900e-01
-4.5216333699e+00	-2.6683012702e+00	 2.0769545415e-01
-4.4966333699e+00	-2.7116025404e+00	-3.1431931553e-02
-4.4716333699e+00	-2.7549038106e+00	-2.3053926810e-01
-4.4466333699e+00	-2.7982050808e+00	-3.8962655549e-01
-4.4216333699e+00	-2.8415063509e+00	-5.0869379374e-01
-4.5466333699e+00	-2.6250000000e+00	 4.8684288900e-01
-4.5216333699e+00	-2.6683012702e+00	 2.0769545415e-01
-4.4966333699e+00	-2.7116025404e+00	-3.1431931553e-02
-4.4716333699e+00	-2.7549038106e+00	-2.3053926810e-01
-4.4466333699e+00	-2.7982050808e+00	-3.8962655549e-01
-4.4216333699e+00	-2.8415063509e+00	-5.0869379374e-01
-4.6418961643e+00	-2.6800000000e+00	 3.8826394655e-01
-4.6058961643e+00	-2.7423538291e+00	 1.6311202623e-01
-4.5698961643e+00	-2.8047076581e+00	-2.4226590802e-02
-4.5338961643e+00	-2.8670614872e+00	-1.7375190455e-01
-4.4978961643e+00	-2.9294153163e+00	-2.8546391503e-01
-4.4618961643e+00	-2.9917691454e+00	-3.5936262222e-01
-4.7544794668e+00	-2.7450000000e+00	 3.1623438215e-01
-4.7054794668e+00	-2.8298704896e+00	 1.2418974739e-01
-4.6564794668e+00	-2.9147409791e+00	-3.3789653453e-02
-4.6074794668e+00	-2.9996114687e+00	-1.5770382039e-01
-4.5584794668e+00	-3.0844819583e+00	-2.4755275341e-01
-4.5094794668e+00	-3.1693524479e+00	-3.0333645253e-01
-4.8843832773e+00	-2.8200000000e+00	 2.6128020449e-01
-4.8203832773e+00	-2.9308512517e+00	 9.1094687059e-02
-4.7563832773e+00	-3.0417025034e+00	-4.9024574244e-02
-4.6923832773e+00	-3.1525537551e+00	-1.5907757942e-01
-4.6283832773e+00	-3.2634050067e+00	-2.3906432848e-01
-4.5643832773e+00	-3.3742562584e+00	-2.8898482140e-01
-5.0316075960e+00	-2.9050000000e+00	 2.1793925826e-01
-4.9506075960e+00	-3.0452961154e+00	 6.3009574944e-02
-4.8696075960e+00	-3.1855922308e+00	-6.5668378612e-02
-4.7886075960e+00	-3.3258883462e+00	-1.6809460240e-01
-4.7076075960e+00	-3.4661844617e+00	-2.4426909643e-01
-4.6266075960e+00	-3.6064805771e+00	-2.9419186069e-01
-5.1961524227e+00	-3.0000000000e+00	 1.8284389873e-01
-5.0961524227e+00	-3.1732050808e+00	 3.9034340787e-02
-4.9961524227e+00	-3.3464101615e+00	-8.2019059947e-02
-4.8961524227e+00	-3.5196152423e+00	-1.8031630348e-01
-4.7961524227e+00	-3.6928203230e+00	-2.5585738980e-01
-4.6961524227e+00	-3.8660254038e+00	-3.0864231892e-01
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-1.8978010572e+15
-4.3301270189e+00	-2.5000000000e+00	-2.0271196690e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-1.5902298576e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3337872730e+00	-2.5136602540e+00	-2.8900823100e+00
-4.3320552222e+00	-2.5126602540e+00	-1.3060078344e+00
-4.3303231713e+00	-2.5116602540e+00	-3.1865052572e-01
-4.3285911205e+00	-2.5106602540e+00	 7.1989615961e-02
-4.3268590697e+00	-2.5096602540e+00	-1.3408740935e-01
-4.3251270189e+00	-2.5086602540e+00	-9.3688160165e-01
-4.3447680351e+00	-2.5546410162e+00	-1.5295076462e+00
-4.3378398318e+00	-2.5506410162e+00	-7.3661313187e-01
-4.3309116286e+00	-2.5466410162e+00	-2.4394490308e-01
-4.3239834254e+00	-2.5426410162e+00	-5.1502959793e-02
-4.3170552222e+00	-2.5386410162e+00	-1.5928730201e-01
-4.3101270189e+00	-2.5346410162e+00	-5.6729792973e-01
-4.3630693053e+00	-2.6229422863e+00	-1.0284743900e+00
-4.3474808480e+00	-2.6139422863e+00	-5.1596479599e-01
-4.3318923907e+00	-2.6049422863e+00	-2.0205926619e-01
-4.3163039335e+00	-2.5959422863e+00	-8.6757800615e-02
-4.3007154762e+00	-2.5869422863e+00	-1.7006039927e-01
-4.2851270189e+00	-2.5779422863e+00	-4.5196706214e-01
-4.3886910835e+00	-2.7185640646e+00	-7.6902627429e-01
-4.3609782706e+00	-2.7025640646e+00	-3.9982072577e-01
-4.3332654577e+00	-2.6865640646e+00	-1.7788481545e-01
-4.3055526448e+00	-2.6705640646e+00	-1.0321854334e-01
-4.2778398318e+00	-2.6545640646e+00	-1.7582190943e-01
-4.2501270189e+00	-2.6385640646e+00	-3.9569491372e-01
-4.4216333699e+00	-2.8415063509e+00	-6.1047587104e-01
-4.3783320997e+00	-2.8165063509e+00	-3.2823813750e-01
-4.3350308295e+00	-2.7915063509e+00	-1.6230221019e-01
-4.2917295593e+00	-2.7665063509e+00	-1.1266808913e-01
-4.2484282891e+00	-2.7415063509e+00	-1.7933577431e-01
-4.2051270189e+00	-2.7165063509e+00	-3.6230526574e-01
-4.4216333699e+00	-2.8415063509e+00	-6.1047587104e-01
-4.3783320997e+00	-2.8165063509e+00	-3.2823813750e-01
-4.3350308295e+00	-2.7915063509e+00	-1.6230221019e-01
-4.2917295593e+00	-2.7665063509e+00	-1.1266808913e-01
-4.2484282891e+00	-2.7415063509e+00	-1.7933577431e-01
-4.2051270189e+00	-2.7165063509e+00	-3.6230526574e-01
-4.4618961643e+00	-2.9917691454e+00	-5.4314837633e-01
-4.3995423352e+00	-2.9557691454e+00	-3.1068009467e-01
-4.3371885061e+00	-2.9197691454e+00	-1.7250833759e-01
-4.2748346771e+00	-2.8837691454e+00	-1.2863310509e-01
-4.2124808480e+00	-2.8477691454e+00	-1.7905439718e-01
-4.1501270189e+00	-2.8117691454e+00	-3.2377221385e-01
-4.5094794668e+00	-3.1693524479e+00	-4.8209390253e-01
-4.4246089772e+00	-3.1203524479e+00	-2.7776722455e-01
-4.3397384876e+00	-3.0713524479e+00	-1.5277593456e-01
-4.2548679981e+00	-3.0223524479e+00	-1.0712003257e-01
-4.1699975085e+00	-2.9733524479e+00	-1.4079951857e-01
-4.0851270189e+00	-2.9243524479e+00	-2.5381439257e-01
-4.5643832773e+00	-3.3742562584e+00	-4.2918850326e-01
-4.4535320257e+00	-3.3102562584e+00	-2.4191033604e-01
-4.3426807740e+00	-3.2462562584e+00	-1.2316132880e-01
-4.2318295223e+00	-3.1822562584e+00	-7.2941481540e-02
-4.1209782706e+00	-3.1182562584e+00	-9.1250794253e-02
-4.0101270189e+00	-3.0542562584e+00	-1.7808926694e-01
-4.6266075960e+00	-3.6064805771e+00	-3.8379740284e-01
-4.4863114806e+00	-3.5254805771e+00	-2.0736920503e-01
-4.3460153652e+00	-3.4444805771e+00	-9.1311851754e-02
-4.2057192497e+00	-3.3634805771e+00	-3.5625343022e-02
-4.0654231343e+00	-3.2824805771e+00	-4.0309678832e-02
-3.9251270189e+00	-3.2014805771e+00	-1.0536485918e-01
-4.6961524227e+00	-3.8660254038e+00	-3.4478386768e-01
-4.5229473419e+00	-3.7660254038e+00	-1.7551284283e-01
-4.3497422612e+00	-3.6660254038e+00	-6.0242293374e-02
-4.1765371804e+00	-3.5660254038e+00	 1.0277806824e-03
-4.0033320997e+00	-3.4660254038e+00	 8.2973793393e-03
-3.8301270189e+00	-3.3660254038e+00	-3.8433497403e-02
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-3.1951915817e+15
-4.3301270189e+00	-2.5000000000e+00	-1.6507128954e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-2.7704198266e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3251270189e+00	-2.5086602540e+00	 1.7206552259e+00
-4.3233949681e+00	-2.5076602540e+00	 3.0851165709e-01
-4.3216629173e+00	-2.5066602540e+00	-8.6400338568e-01
-4.3199308665e+00	-2.5056602540e+00	-1.7968899024e+00
-4.3181988157e+00	-2.5046602540e+00	-2.4901478929e+00
-4.3164667649e+00	-2.5036602540e+00	-2.9437773574e+00
-4.3101270189e+00	-2.5346410162e+00	 7.7974261661e-01
-4.3031988157e+00	-2.5306410162e+00	 6.3070831734e-02
-4.2962706125e+00	-2.5266410162e+00	-5.2689886311e-01
-4.2893424092e+00	-2.5226410162e+00	-9.9016646793e-01
-4.2824142060e+00	-2.5186410162e+00	-1.3267319827e+00
-4.2754860028e+00	-2.5146410162e+00	-1.5365954075e+00
-4.2851270189e+00	-2.5779422863e+00	 4.7559490392e-01
-4.2695385617e+00	-2.5689422863e+00	 3.2247285805e-03
-4.2539501044e+00	-2.5599422863e+00	-3.8389764531e-01
-4.2383616471e+00	-2.5509422863e+00	-6.8577221774e-01
-4.2227731898e+00	-2.5419422863e+00	-9.0239898872e-01
-4.2071847326e+00	-2.5329422863e+00	-1.0337779582e+00
-4.2501270189e+00	-2.6385640646e+00	 3.2538154599e-01
-4.2224142060e+00	-2.6225640646e+00	-2.2487274783e-02
-4.1947013931e+00	-2.6065640646e+00	-3.0655038625e-01
-4.1669885802e+00	-2.5905640646e+00	-5.2680778842e-01
-4.1392757672e+00	-2.5745640646e+00	-6.8325948129e-01
-4.1115629543e+00	-2.5585640646e+00	-7.7590546486e-01
-4.2051270189e+00	-2.7165063509e+00	 2.3592110097e-01
-4.1618257487e+00	-2.6915063509e+00	-3.6485834337e-02
-4.1185244785e+00	-2.6665063509e+00	-2.5818138352e-01
-4.0752232084e+00	-2.6415063509e+00	-4.2916554659e-01
-4.0319219382e+00	-2.6165063509e+00	-5.4943832354e-01
-3.9886206680e+00	-2.5915063509e+00	-6.1899971437e-01
-4.2051270189e+00	-2.7165063509e+00	 2.3592110097e-01
-4.1618257487e+00	-2.6915063509e+00	-3.6485834337e-02
-4.1185244785e+00	-2.6665063509e+00	-2.5818138352e-01
-4.0752232084e+00	-2.6415063509e+00	-4.2916554659e-01
-4.0319219382e+00	-2.6165063509e+00	-5.4943832354e-01
-3.9886206680e+00	-2.5915063509e+00	-6.1899971437e-01
-4.1501270189e+00	-2.8117691454e+00	 1.7058786182e-01
-4.0877731898e+00	-2.7757691454e+00	-5.2851279974e-02
-4.0254193608e+00	-2.7397691454e+00	-2.3517994749e-01
-3.9630655317e+00	-2.7037691454e+00	-3.7639814074e-01
-3.9007117026e+00	-2.6677691454e+00	-4.7650585972e-01
-3.8383578736e+00	-2.6317691454e+00	-5.3550310442e-01
-4.0851270189e+00	-2.9243524479e+00	 1.3913931389e-01
-4.0002565294e+00	-2.8753524479e+00	-5.3419307750e-02
-3.9153860398e+00	-2.8263524479e+00	-2.1129794232e-01
-3.8305155502e+00	-2.7773524479e+00	-3.3449658983e-01
-3.7456450606e+00	-2.7283524479e+00	-4.2301525026e-01
-3.6607745711e+00	-2.6793524479e+00	-4.7685392364e-01
-4.0101270189e+00	-3.0542562584e+00	 1.2392582439e-01
-3.8992757672e+00	-2.9902562584e+00	-4.7709641868e-02
-3.7884245156e+00	-2.9262562584e+00	-1.8925498581e-01
-3.6775732639e+00	-2.8622562584e+00	-3.0071020743e-01
-3.5667220122e+00	-2.7982562584e+00	-3.8207530673e-01
-3.4558707605e+00	-2.7342562584e+00	-4.3335028371e-01
-3.9251270189e+00	-3.2014805771e+00	 1.1710014589e-01
-3.7848309035e+00	-3.1204805771e+00	-3.9586224714e-02
-3.6445347881e+00	-3.0394805771e+00	-1.6961511856e-01
-3.5042386727e+00	-2.9584805771e+00	-2.7298653564e-01
-3.3639425573e+00	-2.8774805771e+00	-3.4970047596e-01
-3.2236464419e+00	-2.7964805771e+00	-3.9975693953e-01
-3.8301270189e+00	-3.3660254038e+00	 1.1483480572e-01
-3.6569219382e+00	-3.2660254038e+00	-3.0727042215e-02
-3.4837168574e+00	-3.1660254038e+00	-1.5229203302e-01
-3.3105117767e+00	-3.0660254038e+00	-2.4986016668e-01
-3.1373066959e+00	-2.9660254038e+00	-3.2343144322e-01
-2.9641016151e+00	-2.8660254038e+00	-3.7300586261e-01
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-4.0562035694e+15
-4.3301270189e+00	-2.5000000000e+00	-8.9343387473e+14
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3301270189e+00	-2.5000000000e+00	-2.4479595225e+15
-4.3301270189e+00	-2.5000000000e+00	 5.6919231149e-02
-4.3164667649e+00	-2.5036602540e+00	-2.6465745231e+00
-4.3174667649e+00	-2.5019282032e+00	-4.2139114410e+00
-4.3184667649e+00	-2.5001961524e+00	-5.8437727701e+00
-4.3194667649e+00	-2.4984641016e+00	-7.5361585104e+00
-4.3204667649e+00	-2.4967320508e+00	-9.2910686619e+00
-4.3214667649e+00	-2.4950000000e+00	-1.1108503225e+01
-4.2754860028e+00	-2.5146410162e+00	-1.4092049620e+00
-4.2794860028e+00	-2.5077128129e+00	-2.1874399376e+00
-4.2834860028e+00	-2.5007846097e+00	-2.9987472399e+00
-4.2874860028e+00	-2.4938564065e+00	-3.8431268690e+00
-4.2914860028e+00	-2.4869282032e+00	-4.7205788249e+00
-4.2954860028e+00	-2.4800000000e+00	-5.6311031075e+00
-4.2071847326e+00	-2.5329422863e+00	-1.0032567444e+00
-4.2161847326e+00	-2.5173538291e+00	-1.5210278406e+00
-4.2251847326e+00	-2.5017653718e+00	-2.0598823300e+00
-4.2341847326e+00	-2.4861769145e+00	-2.6198202126e+00
-4.2431847326e+00	-2.4705884573e+00	-3.2008414885e+00
-4.2521847326e+00	-2.4550000000e+00	-3.8029461576e+00
-4.1115629543e+00	-2.5585640646e+00	-8.0136857352e-01
-4.1275629543e+00	-2.5308512517e+00	-1.1894046044e+00
-4.1435629543e+00	-2.5031384388e+00	-1.5921224448e+00
-4.1595629543e+00	-2.4754256258e+00	-2.0095220946e+00
-4.1755629543e+00	-2.4477128129e+00	-2.4416035538e+00
-4.1915629543e+00	-2.4200000000e+00	-2.8883668224e+00
-3.9886206680e+00	-2.5915063509e+00	-6.8046932263e-01
-4.0136206680e+00	-2.5482050808e+00	-9.9083567493e-01
-4.0386206680e+00	-2.5049038106e+00	-1.3119126966e+00
-4.0636206680e+00	-2.4616025404e+00	-1.6437003877e+00
-4.0886206680e+00	-2.4183012702e+00	-1.9861987481e+00
-4.1136206680e+00	-2.3750000000e+00	-2.3394077779e+00
-3.9886206680e+00	-2.5915063509e+00	-6.8046932263e-01
-4.0136206680e+00	-2.5482050808e+00	-9.9083567493e-01
-4.0386206680e+00	-2.5049038106e+00	-1.3119126966e+00
-4.0636206680e+00	-2.4616025404e+00	-1.6437003877e+00
-4.0886206680e+00	-2.4183012702e+00	-1.9861987481e+00
-4.1136206680e+00	-2.3750000000e+00	-2.3394077779e+00
-3.8383578736e+00	-2.6317691454e+00	-5.7851338199e-01
-3.8743578736e+00	-2.5694153163e+00	-8.2866140972e-01
-3.9103578736e+00	-2.5070614872e+00	-1.0909437673e+00
-3.9463578736e+00	-2.4447076581e+00	-1.3653604546e+00
-3.9823578736e+00	-2.3823538291e+00	-1.6519114718e+00
-4.0183578736e+00	-2.3200000000e+00	-1.9505968188e+00
-3.6607745711e+00	-2.6793524479e+00	-4.9116005599e-01
-3.7097745711e+00	-2.5944819583e+00	-7.0679359363e-01
-3.7587745711e+00	-2.5096114687e+00	-9.3302638510e-01
-3.8077745711e+00	-2.4247409791e+00	-1.1698584304e+00
-3.8567745711e+00	-2.3398704896e+00	-1.4172897295e+00
-3.9057745711e+00	-2.2550000000e+00	-1.6753202825e+00
-3.4558707605e+00	-2.7342562584e+00	-4.1764140379e-01
-3.5198707605e+00	-2.6234050067e+00	-6.1204186073e-01
-3.5838707605e+00	-2.5125537551e+00	-8.1449486290e-01
-3.6478707605e+00	-2.4017025034e+00	-1.0250004103e+00
-3.7118707605e+00	-2.2908512517e+00	-1.2435585029e+00
-3.7758707605e+00	-2.1800000000e+00	-1.4701691407e+00
-3.2236464419e+00	-2.7964805771e+00	-3.5567377400e-01
-3.3046464419e+00	-2.6561844617e+00	-5.3631984483e-01
-3.3856464419e+00	-2.5158883462e+00	-7.2221103717e-01
-3.4666464419e+00	-2.3755922308e+00	-9.1334735102e-01
-3.5476464419e+00	-2.2352961154e+00	-1.1097287864e+00
-3.6286464419e+00	-2.0950000000e+00	-1.3113553433e+00
-2.9641016151e+00	-2.8660254038e+00	-3.0305482467e-01
-3.0641016151e+00	-2.6928203230e+00	-4.7443739091e-01
-3.1641016151e+00	-2.5196152423e+00	-6.4829864895e-01
-3.2641016151e+00	-2.3464101615e+00	-8.2463859877e-01
-3.3641016151e+00	-2.1732050808e+00	-1.0034572404e+00
-3.4641016151e+00	-2.0000000000e+00	-1.1847545738e+00
 5.1961524227e+00	 3.0000000000e+00	 1.4103337975e-01
 5.0961524227e+00	 3.1732050808e+00	 3.8790309856e-02
 4.9961524227e+00	 3.3464101615e+00	-4.7265491420e-02
 4.8961524227e+00	 3.5196152423e+00	-1.1713402408e-01
 4.7961524227e+00	 3.6928203230e+00	-1.7081528812e-01
 4.6961524227e+00	 3.8660254038e+00	-2.0830928355e-01
 5.5425625842e+00	 3.2000000000e+00	 1.3862076790e-01
 5.4425625842e+00	 3.3732050808e+00	 4.7422644785e-02
 5.3425625842e+00	 3.5464101615e+00	-3.1926790026e-02
 5.2425625842e+00	 3.7196152423e+00	-9.9427536531e-02
 5.1425625842e+00	 3.8928203230e+00	-1.5507959473e-01
 5.0425625842e+00	 4.0660254038e+00	-1.9888296463e-01
 5.8889727457e+00	 3.4000000000e+00	 1.3219400050e-01
 5.7889727457e+00	 3.5732050808e+00	 5.5645411650e-02
 5.6889727457e+00	 3.7464101615e+00	-1.3393069206e-02
 5.5889727457e+00	 3.9196152423e+00	-7.4921442068e-02
 5.4889727457e+00	 4.0928203230e+00	-1.2893970693e-01
 5.3889727457e+00	 4.2660254038e+00	-1.7544786381e-01
 6.2353829072e+00	 3.6000000000e+00	 1.2175307755e-01
 6.1353829072e+00	 3.7732050808e+00	 6.3458610451e-02
 6.0353829072e+00	 3.9464101615e+00	 8.3356710393e-03
 5.9353829072e+00	 4.1196152423e+00	-4.3615740688e-02
 5.8353829072e+00	 4.2928203230e+00	-9.2395624732e-02
 5.7353829072e+00	 4.4660254038e+00	-1.3800398109e-01
 6.5817930688e+00	 3.8000000000e+00	 1.0729799904e-01
 6.4817930688e+00	 3.9732050808e+00	 7.0862241188e-02
 6.3817930688e+00	 4.1464101615e+00	 3.3259430711e-02
 6.2817930688e+00	 4.3196152423e+00	-5.5104323931e-03
 6.1817930688e+00	 4.4928203230e+00	-4.5447348123e-02
 6.0817930688e+00	 4.6660254038e+00	-8.6551316480e-02
 6.9282032303e+00	 4.0000000000e+00	 8.8828764974e-02
 6.8282032303e+00	 4.1732050808e+00	 7.7856303860e-02
 6.7282032303e+00	 4.3464101615e+00	 6.1378209808e-02
 6.6282032303e+00	 4.5196152423e+00	 3.9394482818e-02
 6.5282032303e+00	 4.6928203230e+00	 1.1905122891e-02
 6.4282032303e+00	 4.8660254038e+00	-2.1089869974e-02
 6.9282032303e+00	 4.0000000000e+00	 8.8828764974e-02
 6.8282032303e+00	 4.1732050808e+00	 7.7856303860e-02
 6.7282032303e+00	 4.3464101615e+00	 6.1378209808e-02
 6.6282032303e+00	 4.5196152423e+00	 3.9394482818e-02
 6.5282032303e+00	 4.6928203230e+00	 1.1905122891e-02
 6.4282032303e+00	 4.8660254038e+00	-2.1089869974e-02
 7.2746133918e+00	 4.2000000000e+00	 8.8595890303e-02
 7.1746133918e+00	 4.3732050808e+00	 7.5633160081e-02
 7.0746133918e+00	 4.5464101615e+00	 5.9032765313e-02
 6.9746133918e+00	 4.7196152423e+00	 3.8794705998e-02
 6.8746133918e+00	 4.8928203230e+00	 1.4918982137e-02
 6.7746133918e+00	 5.0660254038e+00	-1.2594406271e-02
 7.6210235533e+00	 4.4000000000e+00	 9.0004011127e-02
 7.5210235533e+00	 4.5732050808e+00	 7.4731191185e-02
 7.4210235533e+00	 4.7464101615e+00	 5.7688675088e-02
 7.3210235533e+00	 4.9196152423e+00	 3.8876462835e-02
 7.2210235533e+00	 5.0928203230e+00	 1.8294554426e-02
 7.1210235533e+00	 5.2660254038e+00	-4.0570501388e-03
 7.9674337148e+00	 4.6000000000e+00	 9.3053127447e-02
 7.8674337148e+00	 4.7732050808e+00	 7.5150397172e-02
 7.7674337148e+00	 4.9464101615e+00	 5.7345939132e-02
 7.6674337148e+00	 5.1196152423e+00	 3.9639753327e-02
 7.5674337148e+00	 5.2928203230e+00	 2.2031839757e-02
 7.4674337148e+00	 5.4660254038e+00	 4.5221984227e-03
 8.3138438763e+00	 4.8000000000e+00	 9.7743239264e-02
 8.2138438763e+00	 4.9732050808e+00	 7.6890778042e-02
 8.1138438763e+00	 5.1464101615e+00	 5.8004557446e-02
 8.0138438763e+00	 5.3196152423e+00	 4.1084577476e-02
 7.9138438763e+00	 5.4928203230e+00	 2.6130838132e-02
 7.8138438763e+00	 5.6660254038e+00	 1.3143339414e-02
 8.6602540378e+00	 5.0000000000e+00	 1.0408991584e-01
 8.5602540378e+00	 5.1732050808e+00	 7.9944334437e-02
 8.4602540378e+00	 5.3464101615e+00	 5.9649459766e-02
 8.3602540378e+00	 5.5196152423e+00	 4.3205473959e-02
 8.2602540378e+00	 5.6928203230e+00	 3.0591549549e-02
 8.1602540378e+00	 5.8660254038e+00	 2.1806372834e-02
 4.6961524227e+00	 3.8660254038e+00	-1.2849978260e-01
 4.2461524227e+00	 4.6454482672e+00	-9.4890682090e-02
 3.7961524227e+00	 5.4248711306e+00	-7.2931396423e-02
 3.3461524227e+00	 6.2042939940e+00	-6.2621925601e-02
 2.8961524227e+00	 6.9837168574e+00	-6.3962269625e-02
 2.4461524227e+00	 7.7631397208e+00	-7.6952428495e-02
 5.0425625842e+00	 4.0660254038e+00	-1.0571192113e-01
 4.5925625842e+00	 4.8454482672e+00	-9.4320188898e-02
 4.1425625842e+00	 5.6248711306e+00	-8.5084505972e-02
 3.6925625842e+00	 6.4042939940e+00	-7.8004872352e-02
 3.2425625842e+00	 7.1837168574e+00	-7.3081288038e-02
 2.7925625842e+00	 7.9631397208e+00	-7.0313753031e-02
 5.3889727457e+00	 4.2660254038e+00	-7.7011523763e-02
 4.9389727457e+00	 5.0454482672e+00	-9.0545836192e-02
 4.4889727457e+00	 5.8248711306e+00	-9.6742432388e-02
 4.0389727457e+00	 6.6042939940e+00	-9.5601312350e-02
 3.5889727457e+00	 7.3837168574e+00	-8.7122476080e-02
 3.1389727457e+00	 8.1631397208e+00	-7.1305923577e-02
 5.7353829072e+00	 4.4660254038e+00	-4.2398590503e-02
 5.2853829072e+00	 5.2454482672e+00	-8.3567623973e-02
 4.8353829072e+00	 6.0248711306e+00	-1.0790517567e-01
 4.3853829072e+00	 6.8042939940e+00	-1.1541124560e-01
 3.9353829072e+00	 7.5837168574e+00	-1.0608583375e-01
 3.4853829072e+00	 8.3631397208e+00	-8.0141152318e-02
 6.0817930688e+00	 4.6660254038e+00	-1.8731213484e-03
 5.6317930688e+00	 5.4454482672e+00	-7.3385552241e-02
 5.1817930688e+00	 6.2248711306e+00	-1.1857273582e-01
 4.7317930688e+00	 7.0042939940e+00	-1.3743467209e-01
 4.2817930688e+00	 7.7837168574e+00	-1.2997136105e-01
 3.8317930688e+00	 8.5631397208e+00	-9.7807971309e-02
 6.4282032303e+00	 4.8660254038e+00	 4.4564883700e-02
 5.9782032303e+00	 5.6454482672e+00	-5.9999620995e-02
 5.5282032303e+00	 6.4248711306e+00	-1.2874511284e-01
 5.0782032303e+00	 7.2042939940e+00	-1.6167159183e-01
 4.6282032303e+00	 7.9837168574e+00	-1.5877905798e-01
 4.1782032303e+00	 8.7631397208e+00	-1.2308343155e-01
 2.4461524227e+00	 7.7631397208e+00	-7.6952428495e-02
 1.9961524227e+00	 8.5425625842e+00	-5.5406176458e-02
 1.5461524227e+00	 9.3219854476e+00	-4.4727565037e-02
 1.0961524227e+00	 1.0101408311e+01	-4.0760027481e-02
 6.4615242271e-01	 1.0880831174e+01	-4.3456476555e-02
 1.9615242271e-01	 1.1660254038e+01	-5.2769825015e-02
 2.7925625842e+00	 7.9631397208e+00	-7.0313753031e-02
 2.3425625842e+00	 8.7425625842e+00	-5.2549800767e-02
 1.8925625842e+00	 9.5219854476e+00	-4.3256919329e-02
 1.4425625842e+00	 1.0301408311e+01	-3.9727868996e-02
 9.9256258422e-01	 1.1080831174e+01	-4.1915562533e-02
 5.4256258422e-01	 1.1860254038e+01	-4.9772912698e-02
 3.1389727457e+00	 8.1631397208e+00	-7.1305923577e-02
 2.6889727457e+00	 8.9425625842e+00	-5.5592214532e-02
 2.2389727457e+00	 9.7219854476e+00	-4.5960089446e-02
 1.7889727457e+00	 1.0501408311e+01	-4.1144552704e-02
 1.3389727457e+00	 1.1280831174e+01	-4.1098517073e-02
 8.8897274573e-01	 1.2060254038e+01	-4.5774895312e-02
